PersonID,PersonLName,PersonFName,PersonMI,Title,Race,Ethnicity,Sex,Military,Branch,Rank,Pilot,PrimaryNationality_Birth Citizen,SecondNationality,ThirdNationality,HighestEd,Educat,MedicalDoctor,DOB,Died,DOD,COD,COD_Group,COD_Group2
18,Antonelli,Dominic ,A,,0,0,1,1,4,5,1,United States of America,,,MS,2,0,8/23/1967,0,88/88/8888,None,0,0
19,Apt,Jerome ,,,0,0,1,0,-8,-8,0,United States of America,,,PhD,3,0,4/28/1949,0,88/88/8888,None,0,0
20,Archambault,Lee ,J,,0,0,1,1,1,6,1,United States of America,,,MS,2,0,8/25/1960,0,88/88/8888,None,0,0
21,Armstrong,Neil ,A,,0,0,1,1,4,1,1,United States of America,,,MS,2,0,8/5/1930,1,8/25/2012,Complications after bypass surgery,2,-8
22,Arnold,Richard ,R,,0,0,1,0,-8,-8,0,United States of America,,,MS,2,0,11/26/1963,0,88/88/8888,None,0,0
23,Ashby,Jeffrey ,S,,0,0,1,1,4,6,1,United States of America,,,MS,2,0,6/15/1954,0,88/88/8888,None,0,0
24,Bagian,James ,P,,0,0,1,1,1,6,0,United States of America,,,MD,3,1,2/22/1952,0,88/88/8888,None,0,0
25,Kadenyuk,Leonid,,,0,0,1,1,1,7,1,Ukraine,,,MS,2,0,1/28/1951,1,1/31/2018,Exact Unknown,4,-8
26,Baker,Ellen ,S,,0,0,0,0,-8,-8,0,United States of America,,,MD,3,1,4/27/1953,0,88/88/8888,None,0,0
27,Baker,Michael ,A,,0,0,1,1,4,6,1,United States of America,,,BS,1,0,10/27/1953,0,88/88/8888,None,0,0
28,Barratt,Michael ,R,,0,0,1,0,-8,-8,0,United States of America,,,MD,3,1,4/16/1959,0,88/88/8888,None,0,0
29,Barry,Daniel ,T,,0,0,1,0,-8,-8,0,United States of America,,,MD/PhD,3,1,12/30/1953,0,88/88/8888,None,0,0
30,Bassett,Charles ,A,II ,0,0,1,1,1,3,1,United States of America,,,BS,1,0,12/30/1931,1,2/28/1966,Plane crash - T38,3,1
31,Bean,Alan ,L,,0,0,1,1,4,6,1,United States of America,,,BS,1,0,3/15/1932,1,5/26/2018,"Short illness acquired while traveling, lasting two weeks",4,-8
32,Behnken,Robert ,L,,0,0,1,1,1,5,1,United States of America,,,PhD,3,0,7/28/1970,0,88/88/8888,None,0,0
33,Blaha,John ,E,,0,0,1,1,1,6,1,United States of America,,,MS,2,0,8/26/1942,0,88/88/8888,None,0,0
34,Yershov,Valentin,,,0,0,1,0,-8,-8,0,Russia,,,BS,1,0,1/21/1928,1,2/15/1998,Cancer,1,-8
35,Nelyubov,Grigori,,,0,0,1,1,1,3,1,Russia,,,BS,1,0,3/31/1934,1,2/18/1966,Hit by train while drunk,3,4
36,Pozharskaya,Larisa,,,0,0,0,0,-8,-8,0,Russia,,,MD,3,1,3/15/1947,1,2/18/2002,Cancer,1,-8
37,Bloomfield,Michael ,J,,0,0,1,1,1,6,1,United States of America,,,MS,2,0,3/16/1959,0,88/88/8888,None,0,0
38,Kubasov,Valeri,,,0,0,1,0,-8,-8,0,Russia,,,PhD,3,0,1/7/1935,1,2/19/2014,Exact Unknown,2,-8
39,Amelkina,Galina,,,0,0,0,0,-8,-8,0,Germany,,,MD,3,1,5/22/1954,1,2/20/2014,Cancer,1,-8
40,Gubarev,Aleksei,,,0,0,1,1,1,7,1,Russia,,,PhD,3,0,3/29/1931,1,2/21/2015,Exact Unknown,4,-8
41,Bluford,Guion ,S,Jr. ,1,0,1,1,1,6,1,United States of America,,,PhD,3,0,11/22/1942,0,88/88/8888,None,0,0
42,Bobko,Karol ,J,,0,0,1,1,1,6,1,United States of America,,,MS,2,0,12/23/1937,1,8/17/2020,Exact Unknown,4,-8
43,Kugno,Eduard,,,0,0,1,1,1,6,1,Ukraine,,,PhD,3,0,6/27/1935,1,2/24/1994,Stomach cancer,1,-8
44,Boe,Eric ,A,,0,0,1,1,1,6,1,United States of America,,,MS,2,0,10/1/1964,0,88/88/8888,None,0,0
45,Rushworth,Robert,A,,0,0,1,1,1,-9,1,United States of America,,,BS,1,0,10/9/1924,1,3/17/1993,Heart attack,2,-8
46,White,Robert,M,,0,0,1,1,1,8,1,United States of America,,,MBA,2,0,7/6/1924,1,3/17/2010,Exact Unknown,4,-8
47,Alekseyev,Vladimir,,,0,0,1,1,1,6,1,Russia,,,BS,1,0,8/19/1933,1,3/1/2013,Unknown,-9,-9
48,Kozlov,Vladimir,,,0,0,1,1,1,6,0,Kazakhstan,,,BS,1,0,10/20/1945,1,3/2/2012,Unknown,-9,-9
49,Bolden,Charles ,F,Jr. ,1,0,1,1,5,8,1,United States of America,,,MS,2,0,8/19/1946,0,88/88/8888,None,0,0
50,Illarionov,Valeri,,,0,0,1,1,1,6,0,Russia,,,BS,1,0,3/2/1939,1,3/10/1999,Cancer,1,-8
51,Borman,Frank ,,,0,0,1,1,1,6,1,United States of America,,,MS,2,0,3/14/1928,1,11/7/2023,Unknown,-9,-9
52,Bowen,Stephen ,G,,0,0,1,1,4,6,1,United States of America,,,MS,2,0,2/13/1964,0,88/88/8888,None,0,0
53,Bowersox,Kenneth ,D,,0,0,1,1,4,6,1,United States of America,,,MS,2,0,11/14/1956,0,88/88/8888,None,0,0
54,Brady,Charles ,E,Jr. ,0,0,1,1,4,6,0,United States of America,,,MD,3,1,8/12/1951,1,7/23/2006,Suicide,3,5
55,Fyodorov,Anatoli,,,0,0,1,1,1,6,1,Russia,,,BS,1,0,4/14/1941,1,3/21/2002,Unknown,-9,-9
56,Brand,Vance ,D,,0,0,1,1,5,6,1,United States of America,,,MBA,2,0,5/9/1931,0,88/88/8888,None,0,0
57,Bondarenko,Valentin,,,0,0,1,1,1,1,1,Russia,,,BS,1,0,2/16/1937,1,3/23/1961,Burned to death in oxygen fire in barimetric chamber,3,3
58,Gagarin,Yuri,,,0,0,1,1,1,6,1,Russia,,,BS,1,0,3/9/1934,1,3/27/1968,Plane crash,3,1
59,Crossfield,Albert,S,,0,0,1,0,-8,-8,1,United States of America,,,MS,2,0,10/2/1921,1,4/19/2006,Plane crash,3,1
60,Sevastiyanov,Vitali,,,0,0,1,0,-8,-8,0,Russia,,,BS,1,0,7/8/1935,1,4/5/2010,Leukemia,1,-8
61,Brandenstein,Daniel ,C,,0,0,1,1,4,6,1,United States of America,,,BS,1,0,1/17/1943,0,88/88/8888,None,0,0
62,McKay,John,B,,0,0,1,1,1,-9,1,United States of America,,,BS,1,0,12/8/1922,1,4/27/1975,"Natural causes, liver disease/alcoholism",4,-8
63,Shonin,Georgi,,,0,0,1,1,1,7,1,Ukraine,,,BS,1,0,8/3/1935,1,4/7/1997,Heart attack,2,-8
64,Grechko,Georgi,,,0,0,1,0,-8,-8,0,Russia,,,PhD,3,0,5/25/1931,1,4/8/2017,Exact Unknown,4,-8
65,Kramarenko,Aleksandr,,,0,0,1,1,1,6,1,Ukraine,,,BS,1,0,11/8/1942,1,4/13/2002,Heart attack,2,-8
66,Gevorkyan,Vladimir,,,0,0,1,0,-8,-8,0,Armenia,,,BS,1,0,5/28/1952,1,4/13/2008,Brain cancer,1,-8
67,Anokhin,Sergei,,,0,0,1,1,1,-8,1,Russia,,,BS,1,0,4/1/1910,1,4/15/1986,Pancreatitis,4,-8
68,Sattarov,Nail,,,0,0,1,1,1,6,1,Bashkortostan,,,BS,1,0,12/23/1941,1,4/15/2014,Unknown,-9,-9
69,Bresnik,Randolph ,J,,0,0,1,1,5,6,1,United States of America,,,MS,2,0,9/11/1967,0,88/88/8888,None,0,0
70,Fatkhullin,Mars,,,0,0,1,0,-8,-8,0,Russia,,,PhD,3,0,5/14/1939,1,4/16/2003,Stroke,2,-8
71,Ponomaryov,Yuri,,,0,0,1,0,-8,-8,1,Russia,,,BS,1,0,3/24/1932,1,4/16/2005,Stroke,2,-8
72,Gulyayev,Vladislav,,,0,0,1,1,4,-8,0,Russia,,,BS,1,0,5/31/1937,1,4/19/1990,Heart attack,2,-8
73,Bridges,Roy ,D,Jr. ,0,0,1,1,1,8,1,United States of America,,,MS,2,0,7/19/1943,0,88/88/8888,None,0,0
74,Lyakhov,Vladimir,,,0,0,1,1,1,6,1,Ukraine,,,BS,1,0,7/20/1941,1,4/19/2018,Unknown,-9,-9
75,Dana,William,H,,0,0,1,1,1,-9,1,United States of America,,,MS,2,0,11/3/1930,1,5/6/2014,Parkinson's disease,4,-8
76,Komarov,Vladimir,,,0,0,1,1,1,6,1,Russia,,,BS,1,0,3/16/1927,1,4/24/1967,Spacecraft accident,3,2
77,Rebrov,Mikhail,,,0,0,1,1,1,6,0,Russia,,,BS,1,0,7/3/1931,1,4/24/1998,Cancer,1,-8
78,Knight,William,J,,0,0,1,1,1,5,1,United States of America,,,BS,1,0,11/18/1929,1,5/7/2004,Leukemia,1,-8
79,Brown,Curtis ,L,Jr. ,0,0,1,1,1,6,1,United States of America,,,BS,1,0,3/11/1956,0,88/88/8888,None,0,0
80,Yakovlev,Oleg,,,0,0,1,1,1,6,1,Russia,,,PhD,3,0,12/31/1940,1,5/2/1990,Heart attack,2,-8
81,Brown,David ,M,,0,0,1,1,4,6,1,United States of America,,,MD,3,1,4/16/1956,1,2/1/2003,Columbia,3,2
82,Grishchenko,Vitali,,,0,0,1,1,1,5,1,Russia,,,PhD,3,0,4/26/1942,1,5/4/1992,Suicide,3,5
83,Zaytsev,Andrei,,,0,0,1,0,-8,-8,0,Russia,,,BS,1,0,8/5/1957,1,5/5/2010,Unknown,-9,-9
84,Yablontsev,Aleksandr,,,0,0,1,1,1,-8,1,Poland,,,BS,1,0,4/3/1955,1,5/6/2012,Plane crash,3,1
85,Brown,Mark ,N,,0,0,1,1,1,6,1,United States of America,,,MS,2,0,11/18/1951,0,88/88/8888,None,0,0
86,Buchli,James ,F,,0,0,1,1,5,6,1,United States of America,,,MS,2,0,6/20/1945,0,88/88/8888,None,0,0
87,Vorobiyov,Lev,,,0,0,1,1,1,6,1,Russia,,,BS,1,0,2/24/1931,1,5/12/2010,Throat cancer,1,-8
88,Gorbatko,Viktor,,,0,0,1,1,1,7,1,Russia,,,BS,1,0,12/3/1934,1,5/15/2017,Exact Unknown,4,-8
89,Khrunov,Yevgeny,,,0,0,1,1,1,6,1,Russia,,,PhD,3,0,9/10/1933,1,5/19/2000,Heart attack,2,-8
90,Golovanov,Yaroslav,,,0,0,1,0,-8,-8,0,Russia,,,BS,1,0,6/2/1932,1,5/21/2003,Unknown,-9,-9
91,Walker,Joseph,A,,0,0,1,1,1,3,1,United States of America,,,BS,1,0,2/20/1921,1,6/8/1966,Plane crash,3,1
92,Bull,John ,S,,0,0,1,1,4,4,1,United States of America,,,PhD,3,0,9/25/1934,1,8/11/2008,Complications due to long-term Asthma,4,-8
93,Yorkina,Zhanna,,,0,0,0,1,1,4,0,Russia,,,BS,1,0,5/6/1939,1,5/25/2015,Unknown,-9,-9
94,Burbank,Daniel ,C,,0,0,1,1,3,6,1,United States of America,,,MS,2,0,7/27/1961,0,88/88/8888,None,0,0
95,Bursch,Daniel ,W,,0,0,1,1,4,6,1,United States of America,,,MS,2,0,7/25/1957,0,88/88/8888,None,0,0
96,Makarov,Oleg,,,0,0,1,0,-8,-8,0,Russia,,,BS,1,0,1/6/1933,1,5/28/2003,Heart attack,2,-8
97,Benderov,Vladimir,,,0,0,1,1,1,-8,1,Russia,,,BS,1,0,8/4/1924,1,6/3/1974,Plane crash Tu-144,3,1
98,Sheffer,Yuri,,,0,0,1,0,-8,-8,1,Russia,,,BS,1,0,6/30/1947,1,6/5/2001,Heart failure while working,2,-8
99,Cabana,Robert ,D,,0,0,1,1,5,6,1,United States of America,,,BS,1,0,1/23/1949,0,88/88/8888,None,0,0
100,Cagle,Yvonne ,D,,1,0,0,1,1,6,0,United States of America,,,MD,3,1,4/24/1959,0,88/88/8888,None,0,0
101,Caldeiro,Fernando ,,,0,1,1,0,-8,-8,0,United States of America,,,MS,2,0,6/12/1958,1,10/3/2009,Brain tumor,1,-8
102,Kizim,Leonid,,,0,0,1,1,1,9,1,Ukraine,,,BS,1,0,8/5/1941,1,6/14/2010,Unknown,-9,-9
103,Dyson,Tracy ,E,,0,0,0,0,-8,-8,0,United States of America,,,PhD,3,0,8/14/1969,0,88/88/8888,None,0,0
104,Matinchenko,Aleksandr,,,0,0,1,1,1,5,1,Russia,,,BS,1,0,9/4/1927,1,6/18/1999,Unknown,-9,-9
105,Belousov,Boris,,,0,0,1,1,1,6,0,Belarus,,,BS,1,0,7/24/1930,1,6/27/1998,Unknown,-9,-9
106,Dobrovolsky,Georgiy,,,0,0,1,1,1,5,1,Ukraine,,,BS,1,0,6/1/1928,1,6/30/1971,Spacecraft accident,3,2
107,Patsayev,Viktor,,,0,0,1,0,-8,-8,0,Kazakhstan,,,BS,1,0,6/19/1933,1,6/30/1971,Spacecraft accident,3,2
108,Volkov,Vladislav,,,0,0,1,0,-8,-8,0,Russia,,,BS,1,0,11/23/1925,1,6/30/1971,Spacecraft accident,3,2
109,Beregovoy,Georgy,,,0,0,1,1,1,7,1,Ukraine,,,PhD,3,0,4/15/1921,1,6/30/1995,Heart surgery/heart failure,2,-8
110,Camarda,Charles ,J,,0,0,1,0,-8,-8,0,United States of America,,,PhD,3,0,5/8/1952,0,88/88/8888,None,0,0
111,Katys,Georgi,,,0,0,1,0,-8,-8,0,Russia,,,PhD,3,0,8/31/1926,1,7/1/2017,Unknown,-9,-9
112,Herres,Robert,T,,0,0,1,1,1,-9,1,United States of America,,,MS,2,0,12/1/1932,1,7/24/2008,Brain cancer,1,-8
113,Nikolayev,Andriyan,,,0,0,1,1,1,7,1,Russia,,,BS,1,0,9/5/1929,1,7/3/2004,Heart attack,2,-8
114,Cameron,Kenneth ,D,,0,0,1,1,5,6,1,United States of America,,,MS,2,0,11/29/1949,0,88/88/8888,None,0,0
115,Vozovikov,Sergei,,,0,0,1,1,1,4,1,Russia,,,BS,1,0,4/17/1958,1,7/11/1993,Drowned during survival training,3,3
116,Shcheglov,Vasili,,,0,0,1,1,1,4,1,Ukraine,,,BS,1,0,4/9/1940,1,7/16/1973,Lung cancer,1,-8
117,Kolomiytsev,Ordinard,,,0,0,1,0,-8,-8,0,Russia,,,PhD,3,0,1/29/1933,1,7/16/2012,Unknown,-9,-9
118,Thompson,Milton,O,,0,0,1,1,1,4,1,United States of America,,,BS,1,0,5/4/1926,1,8/6/1993,Exact Unknown,4,-8
119,Vasyutin,Vladimir,,,0,0,1,1,1,7,1,Ukraine,,,PhD,3,0,3/8/1952,1,7/19/2002,Cancer,1,-8
120,Carey,Duane ,G,,0,0,1,1,1,5,1,United States of America,,,MS,2,0,4/30/1957,0,88/88/8888,None,0,0
121,Rafikov,Mars,,,0,0,1,1,1,4,1,Kyrgyzstan,,,BS,1,0,9/29/1933,1,7/23/2000,Heart attack,2,-8
122,Carpenter,M. Scott,S,,0,0,1,1,4,5,1,United States of America,,,BS,1,0,5/1/1925,1,10/10/2013,Complications from stroke,2,-8
123,Carr,Gerald ,P,,0,0,1,1,5,6,1,United States of America,,,MS,2,0,8/22/1932,0,88/88/8888,None,0,0
124,Carter,Manley ,L,Jr. ,0,0,1,1,4,6,1,United States of America,,,MD,3,1,8/15/1947,1,4/5/1991,Plane crash - civilian,3,1
125,Prikhodko,Yuri,,,0,0,1,1,1,4,1,Tajikistan,,,BS,1,0,11/15/1953,1,7/25/2001,Cancer,1,-8
126,Casper,John ,H,,0,0,1,1,1,6,1,United States of America,,,MS,2,0,7/9/1943,0,88/88/8888,None,0,0
127,Letunov,Yuri,,,0,0,1,0,-8,-8,0,Russia,,,BS,1,0,10/26/1926,1,7/30/1983,Heart attack,2,-8
128,Lisun,Mikhail,,,0,0,1,1,1,6,0,Ukraine,,,BS,1,0,9/5/1935,1,7/31/2012,Unknown,-9,-9
129,Artyukhin,Yuri,,,0,0,1,1,1,6,1,Russia,,,PhD,3,0,6/22/1930,1,8/4/1988,Cancer,1,-8
130,Sologub,Mikhail,,,0,0,1,1,1,6,0,Russia,,,BS,1,0,11/6/1936,1,8/4/1996,Leukemia,1,-8
131,Levchenko,Anatoli,,,0,0,1,1,1,3,1,Ukraine,,,BS,1,0,5/5/1941,1,8/6/1988,Brian tumor,1,-8
132,Cassidy,Christopher ,J,,0,0,1,1,4,6,0,United States of America,,,MS,2,0,1/4/1970,0,88/88/8888,None,0,0
133,Cernan,Eugene ,A,,0,0,1,1,4,6,1,United States of America,,,MS,2,0,3/14/1934,1,1/16/2017,Ongoing health issues,4,-8
134,Anikeyev,Ivan,,,0,0,1,1,1,2,1,Russia,,,BS,1,0,2/12/1933,1,8/8/1992,Unknown,-9,-9
135,Chaffee,Roger ,B,,0,0,1,1,4,5,1,United States of America,,,BS,1,0,2/15/1935,1,1/27/1967,Apollo 1,3,2
136,Taylor,James,M,,0,0,1,1,1,-9,1,United States of America,,,BS,1,0,11/27/1930,1,9/4/1970,T-38 crash,3,1
137,Shchukin,Aleksandr,,,0,0,1,0,-8,-8,1,Austria,,,BS,1,0,1/19/1946,1,8/18/1988,Plane crash,3,1
138,Chamitoff,Gregory ,E,,0,0,1,0,-8,-8,0,United States of America,,,PhD,3,0,8/6/1962,0,88/88/8888,None,0,0
139,Rogers,Russell,L,,0,0,1,1,1,5,1,United States of America,,,BS,1,0,4/12/1928,1,9/13/1967,Plane crash,3,1
140,Finley,John,L,,0,0,1,1,4,5,1,United States of America,,,High School,0,0,12/22/1935,1,9/19/2006,Cancer,1,-8
141,Gordon,Henry,C,,0,0,1,1,1,6,1,United States of America,,,MBA,2,0,12/23/1925,1,9/24/1996,Exact Unknown,4,-8
142,Kuznetsova,Tatiyana,,,0,0,0,1,1,6,0,Russia,,,BS,1,0,7/14/1941,1,8/28/2018,Unknown,-9,-9
143,Chang-Diaz,Franklin ,R,,3,-8,1,0,-8,-8,0,United States of America,,,PhD,3,0,4/5/1950,0,88/88/8888,None,0,0
144,Rozhdestvensky,Valery,,,0,0,1,1,3,-8,0,Russia,,,BS,1,0,2/13/1939,1,8/31/2011,Unknown,-9,-9
145,Chapman,Philip ,K,,0,0,1,0,-8,-8,1,United States of America,,,ScD,3,0,3/5/1935,1,4/5/2021,Unknown,-9,-9
146,Chawla,Kalpana ,,,5,-8,0,0,-8,-8,1,United States of America,,,PhD,3,0,7/1/1961,1,2/1/2003,Columbia,3,2
147,Kononenko,Oleg,G,,0,0,1,0,-8,-8,1,Russia,,,BS,1,0,8/16/1938,1,9/8/1980,Plane crash,3,1
148,Stankevicius,Rimantas,,,0,0,1,1,1,5,1,Lithuania,,,BS,1,0,7/26/1944,1,9/9/1990,Plane crash,3,1
149,Yegorov,Boris,,,0,0,1,0,-8,-8,0,Russia,,,MD,3,1,11/26/1937,1,9/12/1994,Heart attack,2,-8
150,Chiao,Leroy ,,,3,-8,1,0,-8,-8,0,United States of America,,,PhD,3,0,8/28/1960,0,88/88/8888,None,0,0
151,Filatyev,Valentin,,,0,0,1,1,1,1,1,Russia,,,BS,1,0,1/21/1930,1,9/15/1990,Lung cancer,1,-8
152,Dedkov,Anatoli,,,0,0,1,1,1,6,1,Belarus,,,BS,1,0,7/24/1944,1,9/17/2016,Exact Unknown,2,-8
153,Romanov,Valeri,,,0,0,1,0,-8,-8,0,Russia,,,BS,1,0,8/18/1946,1,9/18/2014,Unknown,-9,-9
154,Khludeyev,Yevgeni,,,0,0,1,1,1,6,0,Russia,,,BS,1,0,9/10/1940,1,9/19/1995,Heart attack,2,-8
155,Chilton,Kevin ,P,,0,0,1,1,1,-9,1,United States of America,,,MS,2,0,11/3/1954,0,88/88/8888,None,0,0
156,Titov,German,,,0,0,1,1,1,8,1,Russia,,,BS,1,0,9/11/1935,1,9/20/2000,CO poisoning,3,4
157,Beloborodov,Valeri,,,0,0,1,1,1,4,1,Russia,,,BS,1,0,10/26/1939,1,9/20/2004,Heart attack,2,-8
158,Bachurin,Ivan,,,0,0,1,1,1,6,1,Ukraine,,,BS,1,0,1/29/1942,1,9/20/2011,Hypothermia,3,4
159,Berezovoy,Anatoly,,,0,0,1,1,1,-8,1,Russia,,,BS,1,0,4/11/1942,1,9/20/2014,Heart failure,2,-8
160,Polyakov,Valeri,,,0,0,1,0,-8,-8,0,Russia,,,MD,3,1,4/27/1942,0,88/88/8888,None,0,0
161,Clark,Laurel ,B,,0,0,0,1,4,6,0,United States of America,,,MD,3,1,3/10/1961,1,2/1/2003,Columbia,3,2
162,Senkevich,Yuri,,,0,0,1,0,-8,-8,0,Russia,,,MD,3,1,3/4/1937,1,9/25/2003,Unknown,-9,-9
163,Porvatkin,Nikolai,,,0,0,1,1,1,6,1,Russia,,,PhD,3,0,4/15/1932,1,9/28/2009,Unknown,-9,-9
164,Sarafanov,Gennadi,,,0,0,1,1,1,6,1,Russia,,,BS,1,0,1/1/1942,1,9/29/2005,Complications from an operation,4,-8
165,Popovich,Pavel,,,0,0,1,1,1,7,1,Ukraine,,,BS,1,0,10/5/1930,1,9/29/2009,Stroke/brain hemmorhage,2,-8
166,Varlamov,Valentin,,,0,0,1,1,1,5,1,Russia,,,BS,1,0,8/15/1934,1,10/2/1980,Brain hemorrhage after head injury,3,4
167,Baberdin,Valeri,,,0,0,1,1,1,6,0,Bashkortostan,,,BS,1,0,10/28/1948,1,10/2/2003,Hepatitis,4,-8
168,Cleave,Mary ,L,,0,0,0,0,-8,-8,0,United States of America,,,PhD,3,0,2/5/1947,0,88/88/8888,None,0,0
169,Clifford,Michael ,R,,0,0,1,1,2,5,1,United States of America,,,MS,2,0,10/13/1952,0,88/88/8888,None,0,0
170,Coats,Michael ,L,,0,0,1,1,4,6,1,United States of America,,,MS,2,0,1/16/1946,0,88/88/8888,None,0,0
171,Cockrell,Kenneth ,D,,0,0,1,1,4,6,1,United States of America,,,MS,2,0,4/9/1950,0,88/88/8888,None,0,0
172,Lawyer,Richard,E,,0,0,1,1,1,6,1,United States of America,,,BS,1,0,11/8/1932,1,11/12/2005,Suspected blood clot,2,-8
173,Adams,Michael,J,,0,0,1,1,1,4,1,United States of America,,,BS,1,0,5/5/1930,1,11/15/1967,Plane crash X-15,3,1
174,Leonov,Aleksei,,,0,0,1,1,1,7,1,Russia,,,PhD,3,0,5/30/1934,1,10/11/2019,Died at the Burdenko military hospital in Moscow after a long illness,4,-8
175,Coleman,Catherine,G,,0,0,0,1,1,6,0,United States of America,,,PhD,3,0,12/14/1960,0,88/88/8888,None,0,0
176,Rukavishnikov,Nikolai,,,0,0,1,0,-8,-8,0,Russia,,,PhD,3,0,9/18/1932,1,10/19/2002,Heart attack,2,-8
177,Stepanov,Eduard,,,0,0,1,1,1,6,0,Russia,,,PhD,3,0,4/14/1937,1,10/19/2015,Unknown,-9,-9
178,Zaikin,Dmitri,,,0,0,1,1,1,6,1,Russia,,,BS,1,0,4/1/1932,1,10/21/2013,Unknown,-9,-9
179,Lawrence,Robert,H,,1,0,1,1,1,4,1,United States of America,,,PhD,3,0,10/2/1935,1,12/8/1967,F-104 crash,3,1
180,Ivanov,Leonid,,,0,0,1,1,1,4,1,Russia,,,BS,1,0,6/25/1950,1,10/24/1980,Plane crash,3,1
181,Preobrazhensky,Vladimir,,,0,0,1,0,-8,-8,0,Russia,,,BS,1,0,2/3/1939,1,10/25/1993,Car accident,3,4
182,Petersen,Forrest,S,,0,0,1,1,4,9,1,United States of America,,,Unknown,-9,-9,5/16/1922,1,12/8/1990,Brain tumor,1,-8
183,Voronov,Anatoli,,,0,0,1,1,1,6,0,Russia,,,BS,1,0,6/11/1930,1,10/31/1993,Cancer,1,-8
184,Collins,Eileen ,M,,0,0,0,1,1,6,1,United States of America,,,MS,2,0,11/19/1956,0,88/88/8888,None,0,0
185,Malyshev,Yuri,,,0,0,1,1,1,6,1,Russia,,,MS,2,0,8/27/1941,1,11/8/1999,Sepsis after surgery,4,-8
186,Yazdovsky,Valeri,,,0,0,1,0,-8,-8,0,Ukraine,,,BS,1,0,6/8/1930,1,11/10/2012,Unknown,-9,-9
187,Petrushenko,Aleksandr,,,0,0,1,1,1,6,0,Ukraine,,,BS,1,0,1/1/1942,1,11/11/1992,Lung cancer,1,-8
188,Collins,Michael ,,,0,0,1,1,1,7,1,United States of America,,,BS,1,0,10/31/1930,1,4/28/2021,Exact Unknown,1,-8
189,Serebrov,Aleksandr,,,0,0,1,0,-8,-8,0,Russia,,,PhD,3,0,2/15/1944,1,11/12/2013,Unknown,-9,-9
190,Dolgopolov,Gennadi,,,0,0,1,0,-8,-8,0,Russia,,,BS,1,0,11/14/1935,1,11/13/2008,Unknown,-9,-9
191,Conrad Jr.,Charles,J,Jr. ,0,0,1,1,4,6,1,United States of America,,,BS,1,0,6/2/1930,1,7/8/1999,Motorcycle crash,3,4
192,Feoktistov,Konstantin,,,0,0,1,0,-8,-8,0,Russia,,,PhD,3,0,2/7/1926,1,11/21/2009,Cancer,1,-8
193,Moskalenko,Nikolai,,,0,0,1,1,1,5,1,Chechnya,,,BS,1,0,1/1/1949,1,11/25/2004,Unknown,-9,-9
194,Sharov,Valeri,,,0,0,1,0,-8,-8,0,Russia,,,BS,1,0,12/26/1953,1,11/26/2014,Unknown,-9,-9
